Üniversite,Bölüm/Fakülte,Ücret,Akademik yıl
İstanbul Medipol Üniversitesi,Tıp Fakültesi - 157.680 TL,157.680 TL,2022
İstanbul Medipol Üniversitesi,Diş Hekimliği - 157.680 TL,157.680 TL,2022
İstanbul Medipol Üniversitesi,Mühendislik Fakültesi - 76.680 TL,76.680 TL,2022
İstanbul Medipol Üniversitesi,Mimarlık - 86.400 TL,86.400 TL,2022
İstanbul Medipol Üniversitesi,Eczacılık - 142.560 TL,142.560 TL,2022
MEF Üniversitesi,Mimarlık (%50 İndirimli) - 58.520 TL,58.520 TL,2022
MEF Üniversitesi,İç Mimarlık (%50 İndirimli) - 53.220 TL,53.220 TL,2022
MEF Üniversitesi,"İktisadi, İdari ve Sosyal Bilimler Fakültesi (%50 İndirimli) - 53.220 TL",53.220 TL,2022
MEF Üniversitesi,Mühendislik Fakültesi (%50 İndirimli) - 53.220 TL,53.220 TL,2022
MEF Üniversitesi,Hukuk Fakültesi (%50 İndirimli) - 63.410 TL,63.410 TL,2022
MEF Üniversitesi,Eğitim Fakültesi (%50 İndirimli) -53.220 TL,53.220 TL,2022
MEF Üniversitesi,İngilizce Hazırlık Programı (%50 İndirimli) - 53.220 TL,53.220 TL,2022
Özyeğin Üniversitesi,Otel Yöneticiliği - 125.000 TL,125.000 TL,2022
Özyeğin Üniversitesi,Gastronomi ve Mutfak Sanatları - 146.000 TL,146.000 TL,2022
Özyeğin Üniversitesi,Pilotaj - 165.000 TL,165.000 TL,2022
Özyeğin Üniversitesi,Havacılık Yönetimi - 146.000 TL,146.000 TL,2022
Özyeğin Üniversitesi,Diğer Fakültelerin Bölümleri - 205.000 TL,205.000 TL,2022
Sabancı Üniversitesi,,,2022
Toros Üniversitesi,Hemşirelik - 43.250 TL,43.250 TL,2022
Toros Üniversitesi,Fizyoterapi ve Rehabilitasyon - 58.625 TL,58.625 TL,2022
Toros Üniversitesi,Sağlık Yönetimi - 52.625 TL,52.625 TL,2022
Toros Üniversitesi,Beslenme ve Diyetetik - 58.625 TL,58.625 TL,2022
Toros Üniversitesi,Uluslararası Ticaret ve Lojistik - 52.625 TL,52.625 TL,2022
Toros Üniversitesi,İşletme - 52.625 TL,52.625 TL,2022
Toros Üniversitesi,Uluslararası Finans ve Bankacılık - 52.625 TL,52.625 TL,2022
Toros Üniversitesi,Psikoloji - 58.625 TL,58.625 TL,2022
Toros Üniversitesi,Gastronomi ve Mutfak Sanatları - 58. 625 TL,625 TL,2022
Toros Üniversitesi,İç Mimarlık - 58.625 TL,58.625 TL,2022
Toros Üniversitesi,Mimarlık - 58.625 TL,58.625 TL,2022
Toros Üniversitesi,Mühendislik Fakültesi - 58.625 TL,58.625 TL,2022
Üsküdar Üniversitesi,Tıp Fakültesi - 153.310 TL,153.310 TL,2022
Üsküdar Üniversitesi,Diş Hekimliği Fakültesi - 131.585 TL,131.585 TL,2022
