Üniversite,Bölüm/Fakülte,Ücret,Burs oranı,Akademik yıl
Antalya Akev Üniversitesi,Sosyoloji,42.500 TL, %50 İndirim ,2022
İstanbul Medipol Üniversitesi,Yeni Medya ve İletişim - 59.400 TL,59.400 TL,2022
İstanbul Medipol Üniversitesi,Gastronomi ve Mutfak Sanatları - 74.520 TL,74.520 TL,2022
İstanbul Medipol Üniversitesi,Kentsel Tasarım ve Peyzaj Mimarlığı - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,İç Mimarlık ve Çevre Tasarımı - 74.520 TL,74.520 TL,2022
İstanbul Medipol Üniversitesi,Uluslararası Ticaret ve Finansman - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,Lojistik Yönetimi - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,Havacılık Yönetimi - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,Ekonomi ve Finans -  54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,Yönetim Bilişimleri Sistemleri - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,İşletme - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,Siyaset Bilimi ve Kamu Yönetimi - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,Hemşirelik - 62.640 TL,62.640 TL,2022
İstanbul Medipol Üniversitesi,Psikoloji - 62.640 TL,62.640 TL,2022
İstanbul Medipol Üniversitesi,Hukuk Fakültesi - 97.200 TL,97.200 TL,2022
İstanbul Medipol Üniversitesi,Uluslararası Tıp Fakültesi - 178.200 TL,178.200 TL,2022
İstanbul Medipol Üniversitesi,Tıp Fakültesi - 157.680 TL,157.680 TL,2022
İstanbul Medipol Üniversitesi,Diş Hekimliği - 157.680 TL,157.680 TL,2022
İstanbul Medipol Üniversitesi,Mühendislik Fakültesi - 76.680 TL,76.680 TL,2022
İstanbul Medipol Üniversitesi,Mimarlık - 86.400 TL,86.400 TL,2022
İstanbul Medipol Üniversitesi,Eczacılık - 142.560 TL,142.560 TL,2022
MEF Üniversitesi,Mimarlık (%50 İndirimli) - 58.520 TL,58.520 TL,2022
MEF Üniversitesi,İç Mimarlık (%50 İndirimli) - 53.220 TL,53.220 TL,2022
MEF Üniversitesi,"İktisadi, İdari ve Sosyal Bilimler Fakültesi (%50 İndirimli) - 53.220 TL",53.220 TL,2022
MEF Üniversitesi,Mühendislik Fakültesi (%50 İndirimli) - 53.220 TL,53.220 TL,2022
MEF Üniversitesi,Hukuk Fakültesi (%50 İndirimli) - 63.410 TL,63.410 TL,2022
MEF Üniversitesi,Eğitim Fakültesi (%50 İndirimli) -53.220 TL,53.220 TL,2022
MEF Üniversitesi,İngilizce Hazırlık Programı (%50 İndirimli) - 53.220 TL,53.220 TL,2022
Özyeğin Üniversitesi,Otel Yöneticiliği - 125.000 TL,125.000 TL,2022
Özyeğin Üniversitesi,Gastronomi ve Mutfak Sanatları - 146.000 TL,146.000 TL,2022
Özyeğin Üniversitesi,Pilotaj - 165.000 TL,165.000 TL,2022
Özyeğin Üniversitesi,Havacılık Yönetimi - 146.000 TL,146.000 TL,2022
Özyeğin Üniversitesi,Diğer Fakültelerin Bölümleri - 205.000 TL,205.000 TL,2022
Sabancı Üniversitesi,,,2022
Toros Üniversitesi,Hemşirelik - 43.250 TL,43.250 TL,2022
Toros Üniversitesi,Fizyoterapi ve Rehabilitasyon - 58.625 TL,58.625 TL,2022
Toros Üniversitesi,Sağlık Yönetimi - 52.625 TL,52.625 TL,2022
Toros Üniversitesi,Beslenme ve Diyetetik - 58.625 TL,58.625 TL,2022
Toros Üniversitesi,Uluslararası Ticaret ve Lojistik - 52.625 TL,52.625 TL,2022
Toros Üniversitesi,İşletme - 52.625 TL,52.625 TL,2022
